id	filename	md5	size	state
44f07006-f246-4d53-bb24-5d934d9a6dd7	TCGA-A3-3380-01A-01-TS1.6455da58-f102-4927-9c84-da7a3e585766.svs	8c9d8a84a62e5bc6bd94932cfdb34070	44944639	validated
46e9ebc6-60aa-4039-b6a7-d62f3b371929	TCGA-A3-3385-01A-01-BS1.a6db0617-fbcd-45f0-85e0-b65f5e77acd9.svs	8086eafa0152c70097875804c791289c	39533827	validated
477d84a4-2026-49e1-af52-43525ef71a26	TCGA-B0-4841-11A-01-TS1.186c1682-0c95-4247-ab64-4341f33cabe9.svs	a89d49538f7318e302384d199d4f2268	23968201	validated
4ccfba7c-6dc7-4f2d-86c7-1a0a8981bd94	TCGA-B0-5108-11A-01-TS1.b16643f5-9542-4f24-9969-536c0cb5cc0d.svs	5efaf74576ea87fd0eb3bc6beed7f102	22861499	validated
52a56869-7122-413f-8679-073ba9583f1e	TCGA-B0-4847-01A-01-TS1.83331af8-0864-4709-98e6-9c29cd719caf.svs	e212d20b9c3ff132c1bdbaea077d4e4f	38580841	validated
537ef31f-09f6-4cb4-aeb3-e4ac2f4cc1a4	TCGA-BP-5173-01A-01-TS1.cd7832d0-ed3b-482b-a8bd-e572c140c6d1.svs	bedabdd5de9f7b72ee4b8ededd948466	46394203	validated
59c57887-1479-400d-b3b9-62be39ae268d	TCGA-B0-5080-11A-01-TS1.ac78ccf8-fc77-4762-9466-2207e387dce4.svs	656b8bd065925ac759e28ec9fc76d85d	55863391	validated
6656e5da-57fa-4a79-b74d-11f37456b77c	TCGA-B0-4713-11A-01-TS1.3d1c7d2d-19ab-4d2e-bb5a-8feea98d5021.svs	3c946bffe243aa6de9f3cbeedf4cc183	46470691	validated
67b2141f-b3cb-4426-846b-71df452162f7	TCGA-AK-3465-01A-02-BS2.0ca60c0c-66a0-4866-8542-102586b1a3fd.svs	c4bc4af075d6e1ace9247b2f7394fba2	19968109	validated
684122c1-c913-4cb0-836f-f91ba4f5bfcb	TCGA-B8-4619-01A-01-BS1.fc69c5d9-a218-4922-a2d1-cc748139c6d4.svs	5e751e8e248b8bf7e1dc4e655b0479fc	44250597	validated
76206b3e-91b3-4f01-8daa-fe1d247f6708	TCGA-B8-4619-01A-02-BS2.f126b683-3d94-4ce0-b71f-8d4bfcd6918f.svs	e30410de4dc52253db99e0c32ff7b6fc	45393055	validated
777a39a5-f24e-4ccf-8254-aad12d48c676	TCGA-B0-4838-01A-01-TS1.5815f039-af07-456c-809b-40de9f4e4e1e.svs	3259dd8623dd963bab8b588fcb382fd6	56008021	validated
78281a3a-a79f-416c-90cb-5f708f3efc1b	TCGA-A3-3358-01A-01-TS1.461245d8-0ac1-4bf2-8433-9414fdda0831.svs	fed9e3b58d673443657e339eea341a18	44076339	validated
7880f667-ac19-47ba-b8da-a152f3a9b61f	TCGA-CJ-5683-11A-01-TS1.c734151a-d244-4805-bb96-a18a4e594368.svs	73fe216e2fd1a947f816b504501aabdc	34305405	validated
7a29d380-e1b0-4ec3-b6c1-6dc7bb2768f8	TCGA-B0-5088-11A-01-TS1.481546e6-ba46-4c6a-9998-d7d0e0c84b74.svs	74f4fdc6e73b2f5cbb0456dd2f37f7eb	22228545	validated
